"Birgit";"0201,0723,1008,1011"
"Biri";"1204"
"Bise"
"Blandina";"0510,0518,0602"
"Blanka";"0810,1025,1201"
"Blazsena";"0203"
"Blondina";"1201"
"Boá"
"Boáz";"0522"
"Bocsárd";"0625,1014"
"Bod";"0528,0615"
"Bodaj"
"Bodó";"0102,0202"
"Bódog";"0114,0221,0518,0609,0707,1120"
"Bodola"
"Bodomér";"1221"
"Bodony";"0830"
"Bodor";"1004,1119"
"Bodrog"
"Bodza"
"Boga"
"Bogáj"
"Bogárka";"0522"
"Bogát";"0915"
"Bogáta";"0915"
"Bogdán";"0902"
"Bogdána";"0522,0801,0822"
"Boglár";"0801,0822"
"Boglárka";"0801"
"Bogumil";"0607"
"Bogyó"
"Boján";"0424"
"Bojána";"0424"
"Bojta";"0424,1220"
"Bojtor"
"Bojtorján";"0424,1220"
"Bokod"
"Bokor"
"Bolda";"0829"
"Boldizsár";"0106"
"Boleszláv";"1214"
"Bolivár";"0218"
"Bolyk";"1012,1201"
"Bonaventúra";"0714,0715"
"Bongor"
"Bonifác";"0424,0514,0605,1025,1219"
"Bónis";"0424,0514,0605,1025,1219"
"Bonita";"1201"
"Bonják"
"Bonnie";"1201,1204"
"Bora";"1204"
"Bóra";"1204"
"Borbála";"1204"
"Borbás";"0219"
"Borbolya";"0311"
"Bori";"1204"
"Boris";"1204"
"Boriska";"1204"
"Borisz";"0502,0724,0915"
"Borka";"1204"
"Borocs";"0502,0724,0915"
"Boróka";"1204"
"Borostyán";"0311"
"Boroszló";"1214"
"Borota"
"Bors";"0112,0311"
"Borsa";"0112,0311"
"Borsika";"0311"
"Borsod"
"Bóta"
"Botár";"0127"
"Botond";"0516,0728"
"Bottyán";"0125"
"Burzán"
"Bozdurgán"
"Bozsena";"0211"
"Bozsidár";"1109"
"Bozsó";"1109"
"Bozsóka";"0715,1109"
"Bökény";"1229"
"Bölcs"
"Bölöjte"
"Bölömbér"
"Böngér";"0512"
"Börzsöny"
"Bösztör"
"Brendon";"0707,1120"
"Brigitta";"0201,1008,1011"
"Bronzon"
"Brunhilda";"1117"
"Brúnó";"0202,0214,0517,1006,1011"
"Brútusz";"0202,0304"
"Brünhild";"1117"
"Buda";"0219,0403,0519"
"Budamér";"0219"
"Búga"
"Buják"
"Bulcsú";"0428,0504,0604,1113,1212"
"Bungics"
"Burcse";"0915"
"Burzán"
"Busa"
"Buzád";"0430,1014,1208"
"Buzát";"0430,1014,1208"
"Búzavirág"
"Büszke"
"Cecil";"0416"
"Cecília";"0603,1122"
"Cecilián";"0416,0603"
"Candy"
"Cecilla";"1122"
"Cegőke"
"Celerina";"0203"
"Celeszta";"0406,0519"
"Celesztin";"0406,0519,0727"
"Celesztina";"0406,0519,0727,0814,1014"
